XML_file_name,View_name,Resource_name
navigation,fragment,equipmentOverviewFragment
navigation,fragment,equipmentDetailFragment
navigation,fragment,tasksFragment
navigation,fragment,partyFragment
navigation,fragment,noPartyFragment
navigation,fragment,questDetailFragment
navigation,fragment,skillsFragment
navigation,fragment,statsFragment
navigation,fragment,tavernFragment
navigation,fragment,guildsOverviewFragment
navigation,fragment,challengesOverviewFragment
navigation,fragment,shopsFragment
navigation,fragment,avatarOverviewFragment
navigation,fragment,itemsFragment
navigation,fragment,stableFragment
navigation,fragment,newsFragment
navigation,fragment,FAQOverviewFragment
navigation,fragment,aboutFragment
navigation,fragment,inboxFragment
navigation,fragment,guildFragment
navigation,fragment,publicGuildsFragment
navigation,fragment,FAQDetailFragment
navigation,fragment,avatarCustomizationFragment
navigation,fragment,inboxMessageListFragment
navigation,fragment,petDetailRecyclerFragment
navigation,fragment,mountDetailRecyclerFragment
navigation,fragment,challengeDetailFragment
navigation,fragment,achievementsFragment
navigation,fragment,marketFragment
navigation,fragment,questShopFragment
navigation,fragment,seasonalShopFragment
navigation,fragment,timeTravelersShopFragment
navigation,activity,subscriptionPurchaseActivity
navigation,activity,giftOneGetOneInfoActivity
navigation,activity,gemPurchaseActivity
navigation,activity,giftGemsActivity
navigation,activity,giftSubscriptionActivity
navigation,activity,prefsActivity
navigation,activity,notificationsActivity
navigation,activity,fullProfileActivity
navigation,activity,guidelinesActivity
navigation,activity,groupFormActivity
navigation,activity,classSelectionActivity
navigation,activity,reportMessageActivity
navigation,action,action_global_reportMessageActivity
navigation,action,action_global_classSelectionActivity
navigation,action,openProfileActivity
navigation,action,openEquipmentDetail
navigation,action,openQuestDetail
navigation,action,openGuildDetail
navigation,action,openPublicGuilds
navigation,action,openChallengeDetail
navigation,action,openAvatarDetail
navigation,action,openPetDetail
navigation,action,openMountDetail
navigation,action,openFAQDetail
navigation,action,openInboxDetail
navigation,action,openGuildDetail
menu_save,item,action_save_changes
guild_nonmember,item,menu.guild.join
menu_challenge_details,item,action_edit
menu_challenge_details,item,action_share
menu_party_invite,item,action_send_invites
menu_create_challenge,item,action_save
guild_admin,item,menu.guild.edit
guild_admin,item,menu_guild_refresh
menu_public_guild,item,action_guild_search
party_member_menu,item,send_message
party_member_menu,item,transfer_ownership
party_member_menu,item,remove
menu_party_admin,item,menu_invite_item
menu_party_admin,item,menu.guild.edit
menu_party_admin,item,menu_guild_refresh
menu_party_admin,item,menu.guild.leave
menu_party,item,menu_invite_item
menu_party,item,menu_guild_refresh
menu_party,item,menu.guild.leave
class_selection,item,opt_out
menu_task_create,item,action_save
menu_tavern,item,menu_guild_refresh
login,item,action_toggleRegistering
menu_list_challenges,item,action_create_challenge
menu_list_challenges,item,action_reload
menu_list_challenges,item,action_search
guild_member,item,menu_guild_refresh
guild_member,item,menu.guild.leave
menu_main_activity,item,action_reload
menu_main_activity,item,action_search
menu_main_activity,item,action_filter
menu_full_profile,item,copy_username
menu_full_profile,item,copy_userid
menu_task_edit,item,action_delete
menu_task_edit,item,action_save
progressbar_red,item,oid:id/background
progressbar_red,item,oid:id/progress
quest_difficulty_rating,item,oid:id/background
quest_difficulty_rating,item,oid:id/secondaryProgress
quest_difficulty_rating,item,oid:id/progress
selection_highlight,item,oid:id/mask
selection_highlight_brand,item,oid:id/mask
progressbar_yellow,item,oid:id/background
progressbar_yellow,item,oid:id/progress
exp_progress,item,oid:id/background
exp_progress,item,oid:id/progress
hp_progress,item,oid:id/background
hp_progress,item,oid:id/progress
mp_progress,item,oid:id/background
mp_progress,item,oid:id/progress
activity_group_form,View,privacy_separator
activity_group_form,LinearLayout,privacyWrapper
activity_group_form,ImageButton,cancel_button
activity_group_form,Button,save_button
activity_group_form,com.habitrpg.android.habitica.ui.views.HabiticaAutocompleteTextView,group_name_edittext
activity_group_form,com.habitrpg.android.habitica.ui.views.HabiticaAutocompleteTextView,group_description_edittext
activity_group_form,Switch,leader_create_challenge_switch
activity_group_form,Spinner,privacySpinner
activity_report_message,View,touch_outside
activity_report_message,FrameLayout,bottom_sheet
activity_report_message,LinearLayout,content_container
activity_report_message,com.google.android.material.appbar.AppBarLayout,app_bar
activity_report_message,androidx.appcompat.widget.Toolbar,toolbar
activity_report_message,ImageButton,close_button
activity_report_message,TextView,toolbar_title
activity_report_message,TextView,title_text_view
activity_report_message,TextView,message_text_view
activity_report_message,TextView,report_explanation_textview
activity_report_message,Button,report_button
activity_report_message,androidx.appcompat.widget.AppCompatEditText,additional_info_edittext
fragment_guilds_overview,Button,publicGuildsButton
fragment_guilds_overview,LinearLayout,my_guilds_listview
task_form_task_difficulty,ImageView,image_view
task_form_task_difficulty,TextView,text_view
task_form_task_scheduling,LinearLayout,start_date_wrapper
task_form_task_scheduling,LinearLayout,repeats_every_wrapper
task_form_task_scheduling,LinearLayout,weekly_repeat_wrapper
task_form_task_scheduling,LinearLayout,monthly_repeat_wrapper
task_form_task_scheduling,TextView,summary_textview
task_form_task_scheduling,TextView,start_date_title
task_form_task_scheduling,TextView,start_date_textview
task_form_task_scheduling,TextView,monthly_repeat_days
task_form_task_scheduling,TextView,monthly_repeat_weeks
task_form_task_scheduling,TextView,repeats_every_title
task_form_task_scheduling,Spinner,repeats_every_spinner
task_form_task_scheduling,androidx.appcompat.widget.AppCompatEditText,repeats_every_edittext
task_form_reminder_item,ImageButton,button
task_form_reminder_item,TextView,text_view
snackbar_view,LinearLayout,snackbar_view
snackbar_view,LinearLayout,content_container
snackbar_view,LinearLayout,rightView
snackbar_view,ImageView,leftImageView
snackbar_view,ImageView,rightIconView
snackbar_view,TextView,snackbar_title
snackbar_view,TextView,snackbar_text
snackbar_view,TextView,rightTextView
preference_child_summary,LinearLayout,oid:id/widget_frame
preference_child_summary,TextView,oid:id/title
preference_child_summary,TextView,oid:id/summary
achievement_grid_item,LinearLayout,achievement_container
achievement_grid_item,TextView,achievement_count_label
achievement_grid_item,TextView,achievement_title
achievement_grid_item,com.facebook.drawee.view.SimpleDraweeView,achievement_icon
empty_view_timetravelers,Button,subscribeButton
fragment_guild_detail,TextView,title_view
fragment_guild_detail,TextView,guild_summary
fragment_guild_detail,TextView,guild_description
fragment_guild_detail,TextView,guild_members_text
fragment_guild_detail,TextView,guild_bank_text
fragment_guild_detail,TextView,leader_username
fragment_guild_detail,Button,leave_button
fragment_guild_detail,Button,invite_button
fragment_guild_detail,Button,join_button
fragment_guild_detail,LinearLayout,leader_wrapper
fragment_guild_detail,ImageView,guild_members_icon
fragment_guild_detail,ImageView,guild_bank_icon
fragment_guild_detail,com.habitrpg.android.habitica.ui.AvatarView,leader_avatar_view
fragment_guild_detail,com.habitrpg.android.habitica.ui.views.social.UsernameLabel,leader_profile_name
dialog_levelup_10,ImageView,healer_icon_view
dialog_levelup_10,ImageView,mage_icon_view
dialog_levelup_10,ImageView,rogue_icon_view
dialog_levelup_10,ImageView,warrior_icon_view
view_collapsible_section,View,separator
view_collapsible_section,LinearLayout,title_view
view_collapsible_section,TextView,titleTextView
view_collapsible_section,ImageView,caretView
view_collapsible_section,ImageView,infoIconView
notifications_header,Button,dismiss_all_button
notifications_header,TextView,oid:id/title
notifications_header,TextView,notifications_title_badge
activity_setup,com.habitrpg.android.habitica.ui.views.FadingViewPager,viewPager
activity_setup,RelativeLayout,bottomBar
activity_setup,Button,previousButton
activity_setup,Button,nextButton
activity_setup,com.viewpagerindicator.IconPageIndicator,view_pager_indicator
profile_gear_tablerow,com.facebook.drawee.view.SimpleDraweeView,gear_drawee
profile_gear_tablerow,TextView,tableRowTextView1
profile_gear_tablerow,TextView,tableRowTextView2
achievement_section_header,TextView,title
achievement_section_header,TextView,count_label
item_public_guild,TextView,nameTextView
item_public_guild,TextView,memberCountTextView
item_public_guild,TextView,descriptionTextView
item_public_guild,Button,joinleaveButton
widget_add_task,ImageView,add_task_icon
widget_add_task,TextView,add_task_text
fragment_party_invite,TextView,inviteDescription
fragment_party_invite,LinearLayout,invitationWrapper
fragment_party_invite,Button,addInviteButton
task_form_reward_value,ImageButton,up_button
task_form_reward_value,ImageButton,down_button
task_form_reward_value,EditText,edit_text
fragment_chat,androidx.recyclerview.widget.RecyclerView,recyclerView
fragment_chat,com.habitrpg.android.habitica.ui.views.social.ChatBarView,chatBarView
fragment_quest_detail,LinearLayout,quest_participant_response_wrapper
fragment_quest_detail,LinearLayout,quest_leader_response_wrapper
fragment_quest_detail,LinearLayout,quest_participant_list
fragment_quest_detail,com.facebook.drawee.view.SimpleDraweeView,quest_scroll_image_view
fragment_quest_detail,TextView,description_view
fragment_quest_detail,TextView,title_view
fragment_quest_detail,TextView,quest_leader_view
fragment_quest_detail,TextView,participants_header
fragment_quest_detail,TextView,participants_header_count
fragment_quest_detail,Button,quest_accept_button
fragment_quest_detail,Button,quest_reject_button
fragment_quest_detail,Button,quest_begin_button
fragment_quest_detail,Button,quest_cancel_button
fragment_quest_detail,Button,quest_abort_button
activity_intro,androidx.viewpager.widget.ViewPager,viewPager
activity_intro,com.viewpagerindicator.IconPageIndicator,view_pager_indicator
activity_intro,Button,skipButton
activity_intro,Button,finishButton
shop_header,com.habitrpg.android.habitica.ui.views.NPCBannerView,npcBannerView
shop_header,TextView,namePlate
shop_header,TextView,descriptionView
equipment_overview_view,com.habitrpg.android.habitica.ui.views.equipment.EquipmentOverviewItem,weapon_item
equipment_overview_view,com.habitrpg.android.habitica.ui.views.equipment.EquipmentOverviewItem,shield_item
equipment_overview_view,com.habitrpg.android.habitica.ui.views.equipment.EquipmentOverviewItem,head_item
equipment_overview_view,com.habitrpg.android.habitica.ui.views.equipment.EquipmentOverviewItem,armor_item
equipment_overview_view,com.habitrpg.android.habitica.ui.views.equipment.EquipmentOverviewItem,head_accessory_item
equipment_overview_view,com.habitrpg.android.habitica.ui.views.equipment.EquipmentOverviewItem,body_item
equipment_overview_view,com.habitrpg.android.habitica.ui.views.equipment.EquipmentOverviewItem,back_item
equipment_overview_view,com.habitrpg.android.habitica.ui.views.equipment.EquipmentOverviewItem,eyewear_item
item_image_row,com.facebook.drawee.view.SimpleDraweeView,imageView
item_image_row,TextView,titleTextView
item_image_row,TextView,valueTextView
dialog_task_filter,TextView,task_type_title
dialog_task_filter,TextView,tags_title
dialog_task_filter,RadioGroup,task_filter_wrapper
dialog_task_filter,RadioButton,all_task_filter
dialog_task_filter,RadioButton,second_task_filter
dialog_task_filter,RadioButton,third_task_filter
dialog_task_filter,Button,tag_edit_button
dialog_task_filter,LinearLayout,tags_list
fragment_tavern_detail,com.habitrpg.android.habitica.ui.views.CollapsibleSectionView,worldBossSection
fragment_tavern_detail,com.habitrpg.android.habitica.ui.views.CollapsibleSectionView,playerTiersView
fragment_tavern_detail,com.habitrpg.android.habitica.ui.views.social.QuestProgressView,questProgressView
fragment_tavern_detail,Button,innButton
fragment_tavern_detail,Button,guidelinesButton
fragment_tavern_detail,Button,faqButton
fragment_tavern_detail,Button,reportButton
dialog_insufficient_currency,ImageView,imageView
dialog_insufficient_currency,TextView,textView
quest_progress_old,TextView,bossNameView
quest_progress_old,com.habitrpg.android.habitica.ui.views.ValueBar,bossHealthView
quest_progress_old,com.habitrpg.android.habitica.ui.views.ValueBar,bossRageView
quest_progress_old,LinearLayout,collectionContainer
filter_menu_item,TextView,badge_textview
avatar_setup_drawer,LinearLayout,subcategory_layout
avatar_setup_drawer,LinearLayout,category_layout
avatar_setup_drawer,ImageView,caret_view
avatar_setup_drawer,com.google.android.material.tabs.TabLayout,subcategory_tabs
avatar_setup_drawer,androidx.recyclerview.widget.RecyclerView,customization_list
avatar_setup_drawer,com.habitrpg.android.habitica.ui.views.setup.AvatarCategoryView,body_button
avatar_setup_drawer,com.habitrpg.android.habitica.ui.views.setup.AvatarCategoryView,skin_button
avatar_setup_drawer,com.habitrpg.android.habitica.ui.views.setup.AvatarCategoryView,hair_button
avatar_setup_drawer,com.habitrpg.android.habitica.ui.views.setup.AvatarCategoryView,extras_button
bottom_navigation_submenu,TextView,title_view
bottom_navigation_submenu,ImageView,icon_view
fragment_setup_avatar,Button,randomize_button
fragment_setup_avatar,com.habitrpg.android.habitica.ui.SpeechBubbleView,speech_bubble
fragment_setup_avatar,com.habitrpg.android.habitica.ui.views.setup.AvatarCustomizationDrawer,customization_drawer
fragment_setup_avatar,ImageView,avatar_background
fragment_setup_avatar,com.habitrpg.android.habitica.ui.AvatarView,avatarView
dialog_achievement_detail,TextView,title_view
dialog_achievement_detail,TextView,description_view
dialog_achievement_detail,com.facebook.drawee.view.SimpleDraweeView,icon_view
reward_item_card,ProgressBar,syncing_view
reward_item_card,ImageButton,error_icon
reward_item_card,LinearLayout,buyButton
reward_item_card,com.habitrpg.android.habitica.ui.views.EllipsisTextView,checkedTextView
reward_item_card,com.habitrpg.android.habitica.ui.views.EllipsisTextView,notesTextView
reward_item_card,Button,expand_notes_button
reward_item_card,TextView,approvalRequiredTextField
reward_item_card,TextView,priceLabel
reward_item_card,ImageView,gold_icon
fragment_subscription,androidx.core.widget.NestedScrollView,scroll_view
fragment_subscription,RelativeLayout,gift_subscription_container
fragment_subscription,ImageView,header_image_view
fragment_subscription,com.habitrpg.android.habitica.ui.views.subscriptions.SubscriptionDetailsView,subscriptionDetails
fragment_subscription,TextView,subscribeBenefitsTitle
fragment_subscription,TextView,supportTextView
fragment_subscription,TextView,sub_benefits_mystery_item_text
fragment_subscription,ProgressBar,loadingIndicator
fragment_subscription,LinearLayout,subscriptionOptions
fragment_subscription,Button,gift_subscription_button
fragment_subscription,Button,subscribeButton
fragment_subscription,com.facebook.drawee.view.SimpleDraweeView,sub_benefits_mystery_item_icon
fragment_subscription,com.habitrpg.android.habitica.ui.views.subscriptions.SubscriptionOptionView,subscription1month
fragment_subscription,com.habitrpg.android.habitica.ui.views.subscriptions.SubscriptionOptionView,subscription3month
fragment_subscription,com.habitrpg.android.habitica.ui.views.subscriptions.SubscriptionOptionView,subscription6month
fragment_subscription,com.habitrpg.android.habitica.ui.views.subscriptions.SubscriptionOptionView,subscription12month
dialog_purchase_content_item,com.facebook.drawee.view.SimpleDraweeView,imageView
dialog_purchase_content_item,TextView,titleTextView
dialog_purchase_content_item,TextView,notesTextView
dialog_challenge_detail_daily,FrameLayout,lock_icon_background
dialog_challenge_detail_daily,ImageView,lock_icon
dialog_challenge_detail_daily,com.habitrpg.android.habitica.ui.views.HabiticaEmojiTextView,daily_title
dialog_challenge_detail_daily,LinearLayout,checklistIndicatorWrapper
dialog_challenge_detail_daily,View,checklistDivider
dialog_challenge_detail_daily,TextView,checkListAllTextView
challenge_add_task_item,Button,btn_add_task
tavern_chat_new_entry_item,LinearLayout,chatBarContent
tavern_chat_new_entry_item,LinearLayout,communityGuidelinesView
tavern_chat_new_entry_item,TextView,communityGuidelinesReviewView
tavern_chat_new_entry_item,TextView,text_indicator
tavern_chat_new_entry_item,Button,communityGuidelinesAcceptButton
